Время[с],Напряжение[В]
1.0185,1.8666
1.0194,1.8666
1.0202,1.8666
1.0210,1.8629
1.0217,1.8629
1.0226,1.8666
1.0234,1.8703
1.0242,1.8666
1.0250,1.8592
1.0258,1.8666
1.0266,1.8666
1.0274,1.8666
1.0282,1.8666
1.0291,1.8629
1.0299,1.8629
1.0307,1.8666
1.0315,1.8592
1.0323,1.8666
1.0331,1.8666
1.0340,1.8666
1.0348,1.8666
1.0356,1.8666
1.0364,1.8629
1.0372,1.8666
1.0381,1.8666
1.0389,1.8629
1.0398,1.8666
1.0406,1.8592
1.0415,1.8666
1.0424,1.8629
1.0433,1.8592
1.0441,1.8666
1.0449,1.8666
1.0458,1.8592
1.0466,1.8666
1.0474,1.8629
1.0482,1.8666
1.0490,1.8592
1.0498,1.8666
1.0506,1.8666
1.0514,1.8629
